S V S1 V1 S2 V2 A I
55.55556 54.55556 55.55556 54.63556 55.55556 54.79556 0.80000 0.02000
110.11111 53.55556 110.19111 53.71556 110.35111 54.03556 0.80000 0.02000
163.66667 52.55556 163.90667 52.79556 164.38667 53.27556 0.80000 0.02000
216.22222 51.55556 216.70222 51.87556 217.66222 52.51556 0.80000 0.02000
267.77778 50.55556 268.57778 50.95556 270.17778 51.75556 0.80000 0.02000
318.33333 49.55556 319.53333 50.03556 321.93333 50.99556 0.80000 0.02000
367.88889 48.55556 369.56889 49.11556 372.92889 50.23556 0.80000 0.02000
416.44444 47.55556 418.68444 48.19556 423.16444 49.47556 0.80000 0.02000
464.00000 46.55556 466.88000 47.27556 472.64000 48.71556 0.80000 0.02000
510.55556 45.85556 514.15556 46.65556 521.35556 48.25556 0.80000 0.02000
556.41111 45.15556 560.81111 46.03556 569.61111 47.79556 0.80000 -0.01000
601.56667 44.45556 606.84667 45.41556 617.40667 47.33556 0.80000 -0.01000
646.02222 43.75556 652.26222 44.79556 664.74222 46.87556 0.80000 -0.01000
689.77778 43.05556 697.05778 44.17556 711.61778 46.41556 0.80000 -0.01000
732.83333 42.35556 741.23333 43.55556 758.03333 45.95556 0.80000 -0.01000
775.18889 41.65556 784.78889 42.93556 803.98889 45.49556 0.80000 -0.01000
816.84444 40.85556 827.72444 42.31556 849.48444 45.03556 0.90000 -0.01000
857.70000 40.05556 870.04000 41.69556 894.52000 44.57556 0.90000 -0.01000
897.75556 39.25556 911.73556 40.99492 939.09556 44.11556 0.90000 -0.01000
937.01111 38.45556 952.73047 40.28492 983.21111 43.65556 0.90000 -0.01000
975.46667 37.65556 993.01539 39.57492 1026.86667 43.19556 0.90000 -0.01000
1013.12222 36.85556 1032.59030 38.86492 1070.06222 42.73556 0.90000 -0.01000
1049.97778 36.05556 1071.45522 38.15492 1112.79778 42.27556 0.90000 -0.01000
1086.03333 35.25556 1109.61013 37.44492 1155.07333 41.81556 0.90000 -0.01000
1121.28889 34.45556 1147.05505 36.73492 1196.88889 41.32308 0.90000 -0.01000
1155.74444 33.65556 1183.78996 36.02492 1238.21196 40.79308 0.90000 -0.01000
1189.40000 32.85556 1219.81488 35.31492 1279.00504 40.26308 0.90000 -0.01000
1222.25556 31.95556 1255.12980 34.60492 1319.26812 39.73308 1.00000 -0.01000
1254.21111 31.05556 1289.73471 33.89492 1359.00119 39.20308 1.00000 -0.01000
1285.26667 30.15556 1323.62963 33.18492 1398.20427 38.67308 1.00000 -0.01000
1315.42222 29.25556 1356.81454 32.38492 1436.87734 38.14308 1.00000 -0.01000
1344.67778 28.35556 1389.19946 31.58492 1475.02042 37.61308 1.00000 -0.01000
1373.03333 27.45556 1420.78437 30.78492 1512.63349 37.23308 1.00000 -0.01000
1400.48889 26.55556 1451.56929 29.98492 1549.86657 36.85308 1.00000 -0.01000
1427.04444 25.65556 1481.55420 29.18492 1586.71964 36.47308 1.00000 -0.01000
1452.70000 24.75556 1510.73912 28.53492 1623.19272 36.09308 1.00000 -0.01000
1477.45556 23.85556 1539.27404 27.88492 1659.28580 35.71308 1.00000 -0.01000
1501.31111 23.10556 1567.15895 27.23492 1694.99887 35.33308 1.00000 -0.01000
1524.41667 22.35556 1594.39387 26.58492 1730.33195 34.75308 1.00000 -0.02500
1546.77222 21.60556 1620.97878 25.93492 1765.08502 34.17308 1.00000 -0.02500
1568.37778 20.85556 1646.91370 25.28492 1799.25810 33.59308 1.00000 -0.02500
1589.23333 20.10556 1672.19861 24.63492 1832.85117 33.00853 1.00000 -0.02500
1609.33889 19.35556 1696.83353 23.98492 1865.85970 32.35853 1.00000 -0.02500
1628.69444 18.60556 1720.81844 23.13492 1898.21823 31.70853 1.00000 -0.02500
1647.30000 17.85556 1743.95336 22.28492 1929.92677 31.05853 1.00000 -0.02500
1665.15556 17.10556 1766.23828 21.43492 1960.98530 30.40853 1.00000 -0.02500
1682.26111 16.35556 1787.67319 20.58492 1991.39383 29.75853 1.00000 -0.02500
1698.61667 15.60556 1808.25811 19.73492 2021.15236 29.25853 1.00000 -0.02500
1714.22222 14.65556 1827.99302 18.88492 2050.41089 28.75853 1.00000 -0.02500
1728.87778 13.70556 1846.87794 18.03492 2079.16942 28.25853 1.00000 -0.00500
1742.58333 12.80556 1864.91285 17.18492 2107.42795 27.75853 0.95000 -0.00500
1755.38889 11.90556 1882.09777 16.33492 2135.18648 27.25853 0.95000 -0.00500
1767.29444 11.00556 1898.43268 15.48492 2162.44501 26.75853 0.95000 -0.00500
1778.30000 10.10556 1913.91760 14.63492 2189.20354 26.25853 0.95000 -0.00500
1788.40556 9.20556 1928.55252 13.78492 2215.46207 25.75853 0.95000 -0.00500
1797.61111 8.30556 1942.33743 12.97992 2241.22060 25.25853 0.95000 -0.00500
1805.91667 7.25556 1955.31735 12.17492 2266.47913 24.75853 1.10000 -0.00500
1813.17222 6.20556 1967.49226 11.36992 2291.23766 24.25853 1.10000 -0.00500
1819.37778 5.15556 1978.86218 10.56492 2315.49619 23.75853 1.10000 -0.00500
1824.53333 4.10556 1989.42709 9.75992 2339.25472 23.25853 1.10000 -0.00500
1828.63889 3.05556 1999.18701 8.95492 2362.51325 22.75853 1.10000 -0.00500
1831.69444 2.00556 2008.14192 8.29992 2385.27179 22.25853 1.10000 -0.00500
1833.70000 0.95556 2016.44184 7.50992 2407.53032 21.75853 1.10000 -0.00500
1834.65556 -0.09444 2023.95176 6.71992 2429.28885 21.25853 1.10000 -0.00500
1834.56111 -0.04444 2030.67167 5.92992 2450.54738 20.75853 0.00000 -0.00500
1834.51667 0.00556 2036.60159 5.13992 2471.30591 20.25853 0.00000 -0.00500
1834.52222 -1.04444 2041.74150 4.34992 2491.56444 19.75853 1.10000 -0.00500
1833.47778 -0.99444 2046.09142 3.55992 2511.32297 19.25853 0.00000 -0.00500
1832.48333 -0.94444 2049.65133 2.76992 2530.58150 18.75853 0.00000 -0.00500
1831.53889 -0.89444 2052.42125 1.97992 2549.34003 18.25853 0.00000 -0.00500
1830.64444 -0.84444 2054.40116 1.18992 2567.59856 17.75853 0.00000 -0.00500
1829.80000 -0.79444 2055.59108 0.39992 2585.35709 17.25853 0.00000 -0.00500
1829.00556 -0.74444 2055.99100 -0.39008 2602.61562 16.75853 0.00000 -0.00500
1828.26111 -0.69444 2055.60091 -0.19008 2619.37415 16.25853 0.00000 -0.00500
1827.56667 -0.64444 2055.41083 0.00992 2635.63268 15.75853 0.00000 -0.00500
1826.92222 -0.59444 2055.42074 -0.78008 2651.39121 15.25853 0.00000 -0.00500
1826.32778 -0.54444 2054.64066 -0.58008 2666.64974 14.75853 0.00000 -0.00500
1825.78333 -0.49444 2054.06057 -0.38008 2681.40827 14.25853 0.00000 -0.00500
1825.28889 -0.44444 2053.68049 -0.18008 2695.66681 13.75853 0.00000 -0.00500
1824.84444 -0.39444 2053.50040 0.01992 2709.42534 13.29353 0.00000 -0.00500
1824.45000 -0.34444 2053.52032 -0.77008 2722.71887 12.82853 0.00000 -0.00500
1824.10556 -0.29444 2052.75024 -0.57008 2735.54740 12.36353 0.00000 -0.00500
1823.81111 -0.24444 2052.18015 -0.37008 2747.91093 11.89853 0.00000 -0.00500
1823.56667 -0.19444 2051.81007 -0.17008 2759.80946 11.43353 0.00000 -0.00500
1823.37222 -0.14444 2051.63998 0.02992 2771.24299 10.96853 0.00000 -0.00500
1823.22778 -0.09444 2051.66990 -0.76008 2782.21152 10.50353 0.00000 -0.00500
1823.13333 -0.04444 2050.90981 -0.56008 2792.71505 10.03853 0.00000 -0.00500
1823.08889 0.00556 2050.34973 -0.36008 2802.75358 9.57353 0.00000 -0.00500
1823.09444 -1.04444 2049.98964 -0.16008 2812.32711 9.10853 1.10000 -0.00500
1822.05000 -0.99444 2049.82956 0.03992 2821.43564 8.64353 0.00000 -0.00500
1821.05556 -0.94444 2049.86948 -0.75008 2830.07917 8.17853 0.00000 -0.00500
1820.11111 -0.89444 2049.11939 -0.55008 2838.25770 7.60853 0.00000 -0.00500
1819.21667 -0.84444 2048.56931 -0.35008 2845.86623 7.03853 0.00000 -0.00500
